# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  3.67100e+06
# Free Parameters:           24
# Data Points    :        12798
#   F2(ppm)     F1(ppm)        Data        Calc 
 8.1677e+00  1.2320e+02  5.4384e+06  5.6456e+06 
 8.1716e+00  1.2320e+02  2.3241e+06  2.9099e+06 
 8.1755e+00  1.2320e+02  7.1356e+05  1.3074e+06 
 8.1794e+00  1.2320e+02  7.1178e+04  5.1125e+05 
 8.1833e+00  1.2320e+02 -8.0290e+04  1.7321e+05 
 8.1872e+00  1.2320e+02 -6.5774e+04  5.0003e+04 
 8.1911e+00  1.2320e+02 -4.3443e+04  1.1443e+04 
 8.1950e+00  1.2320e+02 -3.4969e+04  1.1676e+03 
 8.1989e+00  1.2320e+02 -3.8118e+03 -1.0582e+03 
 8.2028e+00  1.2320e+02  6.0525e+04 -1.3437e+03 
 8.2067e+00  1.2320e+02  1.3559e+05 -1.2492e+03 
 8.2106e+00  1.2320e+02  1.9145e+05 -1.1105e+03 
 8.2145e+00  1.2320e+02  2.1817e+05 -9.8533e+02 
 8.2184e+00  1.2320e+02  2.1991e+05 -8.7885e+02 
 8.2223e+00  1.2320e+02  2.0094e+05 -7.8844e+02 
 8.2262e+00  1.2320e+02  1.6631e+05 -7.1118e+02 
 8.2301e+00  1.2320e+02  1.2114e+05 -6.4465e+02 
 8.2340e+00  1.2320e+02  7.2695e+04 -5.8697e+02 
  
 8.0702e+00  1.2325e+02  1.9639e+04 -6.1401e+02 
 8.0741e+00  1.2325e+02  4.0110e+04 -6.7647e+02 
 8.0780e+00  1.2325e+02  8.2137e+04 -7.4886e+02 
 8.0819e+00  1.2325e+02  1.2803e+05 -8.3337e+02 
 8.0858e+00  1.2325e+02  1.7072e+05 -9.3275e+02 
 8.0897e+00  1.2325e+02  2.1901e+05 -1.0499e+03 
 8.0936e+00  1.2325e+02  3.2026e+05 -1.1838e+03 
 8.0975e+00  1.2325e+02  2.5828e+05 -1.3027e+03 
 8.1014e+00  1.2325e+02  2.8745e+05 -1.2039e+03 
