# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  3.06078e+04
# Free Parameters:           23
# Data Points    :        12087
#   F2(ppm)     F1(ppm)        Data        Calc 
 7.3936e+00  1.0854e+02  2.4474e+04  1.7214e+04 
  
 7.2294e+00  1.0859e+02  3.2403e+04  1.5064e+04 
 7.2333e+00  1.0859e+02  3.4908e+04  1.6597e+04 
 7.2372e+00  1.0859e+02  3.8587e+04  1.8495e+04 
 7.2411e+00  1.0859e+02  4.3123e+04  2.0976e+04 
 7.2450e+00  1.0859e+02  4.8284e+04  2.4439e+04 
 7.2489e+00  1.0859e+02  5.4160e+04  2.9578e+04 
 7.2528e+00  1.0859e+02  6.0854e+04  3.7554e+04 
 7.2568e+00  1.0859e+02  6.9309e+04  5.0212e+04 
 7.2607e+00  1.0859e+02  8.2260e+04  7.0302e+04 
 7.2646e+00  1.0859e+02  1.0438e+05  1.0165e+05 
 7.2685e+00  1.0859e+02  1.4212e+05  1.4915e+05 
 7.2724e+00  1.0859e+02  2.0287e+05  2.1849e+05 
 7.2763e+00  1.0859e+02  2.9412e+05  3.1541e+05 
 7.2802e+00  1.0859e+02  4.2289e+05  4.4456e+05 
 7.2841e+00  1.0859e+02  5.9159e+05  6.0799e+05 
 7.2880e+00  1.0859e+02  7.9586e+05  8.0353e+05 
 7.2919e+00  1.0859e+02  1.0248e+06  1.0235e+06 
 7.2958e+00  1.0859e+02  1.2611e+06  1.2543e+06 
